method,batch_1,batch_2,batch_pair,cell_type,n_cells_batch_1,n_cells_batch_2,n_cross_distances,n_within_distances_batch_1,n_within_distances_batch_2,median_cross_batch_distance,within_baseline,R_tech,tech_deviation
MNN,indrop,smartseq2,indrop vs smartseq2,endothelial,235,21,4935,10000,210,0.20974537114716205,0.27442038681658454,0.7643213887288571,0.2687669123952327
MNN,indrop,smartseq2,indrop vs smartseq2,gamma,266,213,10000,10000,10000,0.3623195641034541,0.3419013206085302,1.0597196976559866,0.05800443698096837
Seurat_CCA,celseq,celseq2,celseq vs celseq2,acinar,229,274,10000,10000,10000,17.835791013417126,17.81395990377641,1.00122550571342,0.0012247553942443094
Seurat_CCA,celseq,celseq2,celseq vs celseq2,activated_stellate,19,90,1710,171,4005,20.180358577084977,19.948248591440027,1.0116356072354418,0.011568434122083686
Seurat_CCA,celseq,celseq2,celseq vs celseq2,alpha,213,500,10000,10000,10000,6.664506575700457,6.653556400732926,1.001645762703135,0.0016444099197344048
Seurat_CCA,celseq,celseq2,celseq vs celseq2,beta,161,445,10000,10000,10000,7.72479653114088,7.649697183509605,1.0098172967935473,0.009769420226012761
Seurat_CCA,celseq,celseq2,celseq vs celseq2,delta,50,203,10000,1225,10000,6.712395482214458,6.28468143400839,1.0680565996379023,0.06584073504940806
Seurat_CCA,celseq,celseq2,celseq vs celseq2,ductal,304,257,10000,10000,10000,23.273243685292172,23.51789296695854,0.9895973129051107,0.01045717324191219
Seurat_CCA,celseq,celseq2,celseq vs celseq2,gamma,18,110,1980,153,5995,6.076213604555577,5.657323148479952,1.0740439329841316,0.07143090119430422
Seurat_CCA,celseq,fluidigmc1,celseq vs fluidigmc1,acinar,229,21,4809,10000,210,16.68490990185855,17.526295400139617,0.9519929637683521,0.04919763521771549
Seurat_CCA,celseq,fluidigmc1,celseq vs fluidigmc1,activated_stellate,19,16,304,171,120,19.58236737822733,19.779303568839282,0.9900433202854418,0.01000657894676618
Seurat_CCA,celseq,fluidigmc1,celseq vs fluidigmc1,alpha,213,241,10000,10000,10000,6.812196989887839,6.866445056115765,0.9920995412058808,0.007931832773841236
Seurat_CCA,celseq,fluidigmc1,celseq vs fluidigmc1,beta,161,258,10000,10000,10000,7.276768105528706,7.027727987396734,1.0354367896108945,0.034823356640106336
Seurat_CCA,celseq,fluidigmc1,celseq vs fluidigmc1,delta,50,25,1250,1225,300,6.628660709798012,7.20459432890928,0.9200602292345224,0.0833161445226293
Seurat_CCA,celseq,fluidigmc1,celseq vs fluidigmc1,ductal,304,34,10000,10000,561,22.067822276138237,23.902962040250443,0.9232254244883126,0.0798818440837722
Seurat_CCA,celseq,fluidigmc1,celseq vs fluidigmc1,gamma,18,18,324,153,153,5.771153041677628,6.079529475500218,0.9492762663516462,0.05205540961660453
Seurat_CCA,celseq,indrop,celseq vs indrop,acinar,229,500,10000,10000,10000,17.3826044529804,15.988860341338267,1.087169697019536,0.08357771096776433
Seurat_CCA,celseq,indrop,celseq vs indrop,activated_stellate,19,294,5586,171,10000,27.686685885630727,31.163373258007766,0.888436744520792,0.11829182748310495
